logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,log2FC,p_value,FDR,t_stat
3.57966882498537,4.37898276315734,29.46430586154,1.00847029545276e-07,4.63338941750319e-06,8.82041775739071,APOA1,3.57966882498537,1.00847029545276e-07,4.63338941750319e-06,29.46430586154
1.70413125435473,10.0995244306339,20.1744080184757,9.59760500755938e-07,1.90547679919207e-05,6.33344160597295,APOA2,1.70413125435473,9.59760500755938e-07,1.90547679919207e-05,20.1744080184757
2.41901540455067,7.62923820113784,45.2617356199317,7.747439293417061e-09,1.09457843408516e-06,11.481954914596,APOB,2.41901540455067,7.747439293417061e-09,1.09457843408516e-06,45.2617356199317
-1.64775601278488,1.74894150088962,-9.69712840084251,6.8848732986823e-05,0.000378231543264,1.46601184764315,APOBEC3B,-1.64775601278488,6.8848732986823e-05,0.000378231543264,-9.69712840084251
-2.58471576451405,1.58492359584715,-32.9209994516263,5.20060728190349e-08,3.19055714798033e-06,9.52964292135533,APOBEC3C,-2.58471576451405,5.20060728190349e-08,3.19055714798033e-06,-32.9209994516263
1.66833980874202,5.41074658356485,11.6848134744401,2.3625103517996e-05,0.0001696921484115,2.69232130505804,APOC1,1.66833980874202,2.3625103517996e-05,0.0001696921484115,11.6848134744401
-2.65838205684326,4.14347712832284,-10.4596323472763,4.46941767182015e-05,0.0002728675006966,1.96157614487536,APOC2,-2.65838205684326,4.46941767182015e-05,0.0002728675006966,-10.4596323472763
1.28063305286365,4.01138451351667,20.0475000591531,9.96326980435014e-07,1.95623234013509e-05,6.29146026628393,APOC3,1.28063305286365,9.96326980435014e-07,1.95623234013509e-05,20.0475000591531
2.89815058954515,4.55395828970891,27.0179523132431,1.69094060157725e-07,6.22630196580769e-06,8.25883473586128,APOH,2.89815058954515,1.69094060157725e-07,6.22630196580769e-06,27.0179523132431
2.28979060259253,1.21511012193837,39.5533285500637,1.73599084192218e-08,1.68452540926352e-06,10.6729391592077,APOL6,2.28979060259253,1.73599084192218e-08,1.68452540926352e-06,39.5533285500637
2.16212327657061,1.37125344217137,21.1324576333836,7.28941715001773e-07,1.58972892811964e-05,6.64173364080559,APOM,2.16212327657061,7.28941715001773e-07,1.58972892811964e-05,21.1324576333836
-1.465739438147,4.31853214920468,-13.710606194863,9.32913720360853e-06,8.82976868373844e-05,3.7551972420608,AQP3,-1.465739438147,9.32913720360853e-06,8.82976868373844e-05,-13.710606194863
1.032675350435,3.7295927859377,16.4781613720669,3.17298511580028e-06,4.27117431670254e-05,4.98325864090352,AQR,1.032675350435,3.17298511580028e-06,4.27117431670254e-05,16.4781613720669
-1.08327948938283,4.83473137290012,-18.5140072083503,1.59567793221619e-06,2.71474106844843e-05,5.76123759747458,ARAF,-1.08327948938283,1.59567793221619e-06,2.71474106844843e-05,-18.5140072083503
-1.14762392761795,1.57656096165601,-15.3369138416868,4.83903860177629e-06,5.63096004887092e-05,4.5035941688829,ARAP3,-1.14762392761795,4.83903860177629e-06,5.63096004887092e-05,-15.3369138416868
-1.06394261183846,2.29724163478226,-8.2835708654563,0.0001672963646504,0.0007436792570882,0.447720053226895,ARB2A,-1.06394261183846,0.0001672963646504,0.0007436792570882,-8.2835708654563
-1.06959164797483,7.17468344935008,-8.53581721823329,0.0001414678503685,0.0006511328325391,0.63999355413239,ARF5,-1.06959164797483,0.0001414678503685,0.0006511328325391,-8.53581721823329
-1.08203646224228,5.19516001823894,-7.45041262449738,0.000300815871442,0.0011812703012096,-0.224538033403705,ARFGAP2,-1.08203646224228,0.000300815871442,0.0011812703012096,-7.45041262449738
-1.1506507889541,3.63878328335403,-14.4686612659815,6.81033365826765e-06,7.07599655396986e-05,4.11430753861164,ARFGEF1,-1.1506507889541,6.81033365826765e-06,7.07599655396986e-05,-14.4686612659815
1.21356440764031,0.606782203820155,9.32296671149173,8.60736138610252e-05,0.0004476771594983,1.20987468928014,ARG1,1.21356440764031,8.60736138610252e-05,0.0004476771594983,9.32296671149173
-1.00276490760375,3.45121219918735,-9.46179549845709,7.91572590492728e-05,0.0004190981886445,1.30596315789875,ARG2,-1.00276490760375,7.91572590492728e-05,0.0004190981886445,-9.46179549845709
2.5872380638763,1.36291664915193,33.4672183810134,4.71369904905461e-08,3.04932941066016e-06,9.63380204272071,ARHGAP10,2.5872380638763,4.71369904905461e-08,3.04932941066016e-06,33.4672183810134
1.0123734691548,3.42047081863919,7.28219156109058,0.0003409018026401,0.0013051669015364,-0.367741038230307,ARHGAP12,1.0123734691548,0.0003409018026401,0.0013051669015364,7.28219156109058
